k, accuracy_rate
1, 0.826086956521739
2, 0.826086956521739
3, 0.855072463768116
4, 0.847826086956522
5, 0.847826086956522
6, 0.869565217391304
7, 0.847826086956522
8, 0.833333333333333
9, 0.86231884057971
10, 0.847826086956522
